,model,prompt_id,mean_model_score,mean_gain_diff,composite_z
31,llama3.1:8b,9,0.2231283155909212,0.08734236675840874,0.8884596312352829
32,deepseek-r1:7b,7,0.22419050393251203,0.09400902224622167,0.8323025263845841
33,deepseek-r1:8b,8,0.21516597524123965,0.061072863908546986,0.8279035297115209
34,deepseek-r1:70b,0,0.21730218390815637,0.0711556797176895,0.7824998888648516
35,deepseek-r1:7b,2,0.22858346910736144,0.11558824668503062,0.721776394414454
36,deepseek-r1:70b,11,0.22176557136823755,0.09129961344447951,0.7063840606048615
37,deepseek-r1:70b,9,0.22151681422529063,0.09081482358389194,0.6976687218508537
38,deepseek-r1:8b,0,0.21414640009315813,0.0671926331138846,0.6275086170011911
39,deepseek-r1:14b,4,0.21445425027428675,0.06916214372686764,0.6104743547773694
40,llama3.1:70b,8,0.21531965195242442,0.07458537251040061,0.5648903538083473
41,deepseek-r1:14b,9,0.21434300428530723,0.0713048940054264,0.5586469798413053
42,deepseek-r1:70b,8,0.21376666190797733,0.07044073610379305,0.533192495151924
43,llama3.1:8b,1,0.21051076190436008,0.05850187178569758,0.5327438710513309
44,deepseek-r1:70b,6,0.21019955462110676,0.06392561640110477,0.3993476818382952
45,deepseek-r1:70b,5,0.22806248453751404,0.13048213066286823,0.3803581712149753
46,llama3.1:8b,5,0.23918561254592122,0.1739260427459115,0.3279152097444662
47,deepseek-r1:14b,8,0.21260573738640762,0.07738376368305315,0.3055267838683392
48,llama3.3:70b,3,0.2252774870790209,0.1341716497853083,0.09758863408899798
49,deepseek-r1:32b,9,0.2081681282526845,0.07236589542796056,0.07630897376250245
50,llama3.1:8b,7,0.22005579647203669,0.11973414278539912,0.0012026329576478867
51,deepseek-r1:14b,10,0.20307464252862967,0.05845135584875703,-0.021133125547061038
52,deepseek-r1:70b,2,0.22238765312610648,0.1307856049690711,-0.04927744242707832
53,llama3.1:70b,9,0.2069603757544152,0.07580429721003762,-0.08366135092002658
54,llama3.1:70b,0,0.20578668910874395,0.07246188679160107,-0.10335027170212074
55,deepseek-r1:8b,2,0.21386876999205903,0.10437922127460453,-0.1485837818699341
56,deepseek-r1:8b,9,0.21658490423506727,0.11465486899338255,-0.15462883789038673
57,deepseek-r1:7b,6,0.21548148729401748,0.11505491338074009,-0.24509490531212128
58,deepseek-r1:7b,5,0.21614888489480147,0.11816063819311531,-0.2583788097597366
59,llama3.1:70b,5,0.21820516919173294,0.1259170657785895,-0.2624904635471759
60,deepseek-r1:8b,10,0.2009770672372485,0.06418340772125587,-0.2940955533111492
61,deepseek-r1:8b,11,0.216485681014818,0.12320339244714489,-0.3356801550765569
62,deepseek-r1:14b,6,0.20357094594925973,0.07604140587466418,-0.3414060874868173
63,llama3.1:8b,11,0.2114474601987378,0.11098153518623552,-0.46338186484716476
64,llama3.1:8b,8,0.22747917143309784,0.17266592471167522,-0.5200538563353296
65,llama3.1:8b,4,0.2126008866195038,0.12308711610507461,-0.6232119781821589
66,deepseek-r1:32b,1,0.21046632254486208,0.11734841980794,-0.6659281491099625
67,llama3.3:70b,11,0.21290565798635575,0.12685053396007173,-0.6769158076237568
68,deepseek-r1:70b,1,0.23171223945320868,0.19692270406623857,-0.6969013837257452
69,llama3.1:70b,4,0.22594879499250162,0.1824207089493376,-0.8324045539282537
70,deepseek-r1:8b,3,0.20553725440998438,0.11185633324345859,-0.9221871012439121
71,llama3.1:70b,10,0.19483434605316452,0.07281624974080769,-0.9278416365312757
72,llama3.3:70b,9,0.20743164654863605,0.12422738867884786,-1.0321169798849583
73,deepseek-r1:14b,1,0.1943081320770845,0.0760197906798274,-1.0321829805533573
